# Time-averaged data for fix avgRDF
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2]
5100 150
1 0.0326667 0
2 0.098 0
3 0.163333 0
4 0.228667 0
5 0.294 0
6 0.359333 0
7 0.424667 0
8 0.49 0
9 0.555333 0
10 0.620667 0
11 0.686 0
12 0.751333 0
13 0.816667 0
14 0.882 0
15 0.947333 0
16 1.01267 0
17 1.078 0
18 1.14333 0
19 1.20867 0
20 1.274 0
21 1.33933 0
22 1.40467 0
23 1.47 0
24 1.53533 0
25 1.60067 0
26 1.666 0
27 1.73133 0
28 1.79667 0
29 1.862 0
30 1.92733 0
31 1.99267 0
32 2.058 0
33 2.12333 0
34 2.18867 0
35 2.254 0
36 2.31933 0
37 2.38467 0
38 2.45 0
39 2.51533 0.279489
40 2.58067 0.531036
41 2.646 2.02055
42 2.71133 2.88652
43 2.77667 3.36391
44 2.842 2.26232
45 2.90733 2.37099
46 2.97267 1.53418
47 3.038 0.957985
48 3.10333 1.04048
49 3.16867 0.587072
50 3.234 0.619951
51 3.29933 0.81224
52 3.36467 1.19754
53 3.43 1.00205
54 3.49533 0.482469
55 3.56067 0.883361
56 3.626 1.03115
57 3.69133 0.432595
58 3.75667 0.877127
59 3.822 1.00881
60 3.88733 0.85816
61 3.95267 1.01867
62 4.018 1.2779
63 4.08333 1.16663
64 4.14867 1.13018
65 4.214 0.863049
66 4.27933 1.3841
67 4.34467 0.749462
68 4.41 1.21237
69 4.47533 1.1478
70 4.54067 1.02924
71 4.606 1.47258
72 4.67133 1.08052
73 4.73667 1.39246
74 4.802 1.17589
75 4.86733 1.14453
76 4.93267 1.09019
77 4.998 0.967486
78 5.06333 0.896696
79 5.12867 0.918816
80 5.194 1.07065
81 5.25933 0.852418
82 5.32467 1.08112
83 5.39 0.771011
84 5.45533 0.891301
85 5.52067 0.928352
86 5.586 0.982327
87 5.65133 0.849006
88 5.71667 0.955972
89 5.782 0.758171
90 5.84733 0.810284
91 5.91267 0.84306
92 5.978 0.824733
93 6.04333 1.17822
94 6.10867 0.995184
95 6.174 0.974233
96 6.23933 0.923654
97 6.30467 0.91944
98 6.37 1.04595
99 6.43533 1.06752
100 6.50067 1.2554
101 6.566 1.0528
102 6.63133 1.03216
103 6.69667 1.09098
104 6.762 1.27627
105 6.82733 1.01168
106 6.89267 0.856113
107 6.958 1.03492
108 7.02333 0.872354
109 7.08867 1.16135
110 7.154 0.978989
111 7.21933 1.09707
112 7.28467 1.05526
113 7.35 0.98203
114 7.41533 0.975521
115 7.48067 1.11656
116 7.546 0.879918
117 7.61133 0.925927
118 7.67667 1.24032
119 7.742 1.04245
120 7.80733 0.957385
121 7.87267 0.855965
122 7.938 0.99161
123 8.00333 0.929473
124 8.06867 0.887319
125 8.134 1.01567
126 8.19933 1.10477
127 8.26467 1.0097
128 8.33 1.05339
129 8.39533 1.12069
130 8.46067 0.922287
131 8.526 1.00551
132 8.59133 1.04618
133 8.65667 0.880997
134 8.722 1.10031
135 8.78733 0.9924
136 8.85267 0.955241
137 8.918 1.08953
138 8.98333 0.978785
139 9.04867 1.0367
140 9.114 1.0006
141 9.17933 0.90945
142 9.24467 1.0001
143 9.31 0.856898
144 9.37533 1.11996
145 9.44067 1.13096
146 9.506 1.08938
147 9.57133 0.97804
148 9.63667 1.03465
149 9.702 0.989447
150 9.76733 1.11837
5700 150
1 0.0326667 0
2 0.098 0
3 0.163333 0
4 0.228667 0
5 0.294 0
6 0.359333 0
7 0.424667 0
8 0.49 0
9 0.555333 0
10 0.620667 0
11 0.686 0
12 0.751333 0
13 0.816667 0
14 0.882 0
15 0.947333 0
16 1.01267 0
17 1.078 0
18 1.14333 0
19 1.20867 0
20 1.274 0
21 1.33933 0
22 1.40467 0
23 1.47 0
24 1.53533 0
25 1.60067 0
26 1.666 0
27 1.73133 0
28 1.79667 0
29 1.862 0
30 1.92733 0
31 1.99267 0
32 2.058 0
33 2.12333 0
34 2.18867 0
35 2.254 0
36 2.31933 0
37 2.38467 0
38 2.45 0
39 2.51533 0.186326
40 2.58067 1.06207
41 2.646 2.02055
42 2.71133 3.04689
43 2.77667 2.67584
44 2.842 2.3353
45 2.90733 2.30126
46 2.97267 1.40078
47 3.038 1.02185
48 3.10333 1.04048
49 3.16867 0.587072
50 3.234 1.07082
51 3.29933 0.920539
52 3.36467 0.364468
53 3.43 0.551126
54 3.49533 1.01319
55 3.56067 0.976347
56 3.626 0.851816
57 3.69133 1.03823
58 3.75667 0.960663
59 3.822 0.928102
60 3.88733 0.936175
61 3.95267 1.01867
62 4.018 0.912789
63 4.08333 1.23734
64 4.14867 0.993188
65 4.214 1.02902
66 4.27933 1.25535
67 4.34467 1.43647
68 4.41 1.0002
69 4.47533 1.1478
70 4.54067 1.05783
71 4.606 1.13917
72 4.67133 1.02649
73 4.73667 1.18228
74 4.802 0.869136
75 4.86733 1.16942
76 4.93267 1.23555
77 4.998 1.03828
78 5.06333 0.94268
79 5.12867 0.896406
80 5.194 0.873997
81 5.25933 1.08683
82 5.32467 0.977163
83 5.39 0.81159
84 5.45533 1.02995
85 5.52067 0.831649
86 5.586 1.05789
87 5.65133 0.978203
88 5.71667 0.811674
89 5.782 0.93449
90 5.84733 0.982685
91 5.91267 0.741893
92 5.978 0.874217
93 6.04333 1.09752
94 6.10867 0.96359
95 6.174 0.989697
96 6.23933 0.923654
97 6.30467 0.726654
98 6.37 1.38007
99 6.43533 1.09598
100 6.50067 1.04617
101 6.566 1.03913
102 6.63133 1.00535
103 6.69667 1.05155
104 6.762 0.953976
105 6.82733 1.04962
106 6.89267 1.01741
107 6.958 1.08362
108 7.02333 1.13526
109 7.08867 1.16135
110 7.154 0.898366
111 7.21933 1.11969
112 7.28467 0.910859
113 7.35 1.12388
114 7.41533 0.986242
115 7.48067 1.13763
116 7.546 1.02485
117 7.61133 1.03785
118 7.67667 0.920237
119 7.742 0.983446
120 7.80733 0.86068
121 7.87267 0.998626
122 7.938 0.823223
123 8.00333 0.892662
124 8.06867 1.01408
125 8.134 1.10477
126 8.19933 0.973247
127 8.26467 0.975181
128 8.33 1.01941
129 8.39533 1.04542
130 8.46067 0.97993
131 8.526 0.973079
132 8.59133 1.05417
133 8.65667 1.06978
134 8.722 0.984077
135 8.78733 1.05347
136 8.85267 0.895069
137 8.918 0.985767
138 8.98333 1.12487
139 9.04867 1.05829
140 9.114 0.97221
141 9.17933 0.979408
142 9.24467 0.958716
143 9.31 1.27855
144 9.37533 1.06631
145 9.44067 1.15742
146 9.506 0.985007
147 9.57133 0.958737
148 9.63667 0.920391
149 9.702 0.964398
150 9.76733 0.988612
5800 150
1 0.0326667 0
2 0.098 0
3 0.163333 0
4 0.228667 0
5 0.294 0
6 0.359333 0
7 0.424667 0
8 0.49 0
9 0.555333 0
10 0.620667 0
11 0.686 0
12 0.751333 0
13 0.816667 0
14 0.882 0
15 0.947333 0
16 1.01267 0
17 1.078 0
18 1.14333 0
19 1.20867 0
20 1.274 0
21 1.33933 0
22 1.40467 0
23 1.47 0
24 1.53533 0
25 1.60067 0
26 1.666 0
27 1.73133 0
28 1.79667 0
29 1.862 0
30 1.92733 0
31 1.99267 0
32 2.058 0
33 2.12333 0
34 2.18867 0
35 2.254 0
36 2.31933 0
37 2.38467 0
38 2.45 0
39 2.51533 0
40 2.58067 0.796554
41 2.646 2.18893
42 2.71133 3.28743
43 2.77667 2.67584
44 2.842 2.18934
45 2.90733 2.02232
46 2.97267 1.26737
47 3.038 1.27731
48 3.10333 0.918075
49 3.16867 0.763193
50 3.234 1.2399
51 3.29933 1.02884
52 3.36467 0.416535
53 3.43 0.701433
54 3.49533 1.01319
55 3.56067 0.976347
56 3.626 0.986313
57 3.69133 0.994969
58 3.75667 1.08597
59 3.822 0.847397
60 3.88733 0.897168
61 3.95267 1.13185
